Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,15188630,13318470,467519124,195353698,30.78,2880
2,United Kingdom,Western Europe,4502915,3775825,127998813,26862024,28.43,1815
3,Germany,Western Europe,3873344,3548032,99121817,22265388,25.59,1584
4,Canada,Northern America,2281865,2037734,66166875,10535814,29,1460
5,France,Western Europe,2647084,2443975,67490155,12734029,25.5,1420
6,Netherlands,Western Europe,1263850,1133964,43019425,5802408,34.04,1284
7,Australia,Pacific Region,1877629,1649784,50051440,9257263,26.66,1276
8,Italy,Western Europe,2353407,2124484,54884768,12147038,23.32,1255
9,Japan,Asiatic Region,3331619,3174415,64389095,15342170,19.33,1236
10,Switzerland,Western Europe,938805,852776,32645530,3732055,34.77,1212
11,China,Asiatic Region,9239029,9080674,118957559,69618418,12.88,1210
12,Spain,Western Europe,1851420,1699701,41231830,8308022,22.27,1127
13,Sweden,Western Europe,855251,784502,27029829,3483668,31.6,1087
14,Belgium,Western Europe,694364,632181,20614617,2314067,29.69,995
15,Denmark,Western Europe,533093,483227,17581289,2099067,32.98,949
16,Israel,Middle East,484911,440752,14009351,1609847,28.89,865
17,South Korea,Asiatic Region,1497603,1451865,26838401,4714352,17.92,863
18,Austria,Western Europe,519715,471300,13711285,1530993,26.38,822
19,India,Asiatic Region,2636181,2425509,31553699,10861169,11.97,795
20,Finland,Western Europe,438175,404129,12499999,1584420,28.53,793
21,Norway,Western Europe,431429,386771,11600547,1501572,26.89,785
22,Singapore,Asiatic Region,401707,367179,11114092,1026090,27.67,746
23,Hong Kong,Asiatic Region,425543,393773,11779975,1232820,27.68,737
24,Brazil,Latin America,1328702,1255994,19520361,5959051,14.69,729
25,Russian Federation,Eastern Europe,1592214,1549285,13720248,4660722,8.62,702
26,Poland,Eastern Europe,898169,853882,12144521,2766559,13.52,687
27,New Zealand,Pacific Region,321674,283313,8364633,1020406,26,671
28,Ireland,Western Europe,285898,249884,7316031,691847,25.59,665
29,Taiwan,Asiatic Region,835189,803978,14868633,2383512,17.8,648
30,Greece,Western Europe,418200,376884,9023793,1185298,21.58,639
31,Portugal,Western Europe,444061,404757,8905985,1374191,20.06,636
32,South Africa,Africa,410007,369466,7279740,1417685,17.76,597
33,Czech Republic,Eastern Europe,439800,420933,6671691,1237744,15.17,580
34,Hungary,Eastern Europe,251055,235843,4965398,662969,19.78,567
35,Mexico,Latin America,448756,419131,6808913,1247307,15.17,563
36,Turkey,Middle East,838530,779735,11280898,2274297,13.45,562
37,Argentina,Latin America,277943,259333,5259896,940699,18.92,534
38,Saudi Arabia,Middle East,356058,342343,5767151,944104,16.2,517
39,Chile,Latin America,222875,210686,4069976,719028,18.26,478
40,Malaysia,Asiatic Region,454998,434313,5549924,1199829,12.2,450
41,Iran,Middle East,807926,783223,10795489,3352200,13.36,445
42,Thailand,Asiatic Region,276396,262376,4056009,612119,14.67,418
43,Romania,Eastern Europe,276961,264273,2862526,552176,10.34,384
44,Slovenia,Eastern Europe,127396,120065,2294838,304233,18.01,382
45,Pakistan,Asiatic Region,285547,272318,3631355,882325,12.72,381
46,Colombia,Latin America,168123,158142,2082563,315959,12.39,372
47,Iceland,Western Europe,30331,27253,1073988,86054,35.41,371
48,Egypt,Africa/Middle East,346036,333782,4702497,999115,13.59,369
49,Estonia,Eastern Europe,57752,53770,1363447,165278,23.61,360
50,Croatia,Eastern Europe,143084,135420,1820149,282411,12.72,356
51,Slovakia,Eastern Europe,151839,145958,1911303,332775,12.59,337
52,Ukraine,Eastern Europe,272191,264680,2142348,625307,7.87,336
53,Bulgaria,Eastern Europe,107713,102846,1445214,188797,13.42,322
54,Serbia,Eastern Europe,130675,123176,1682611,273775,12.88,321
55,Kenya,Africa,55170,49644,1265467,166708,22.94,319
56,Philippines,Asiatic Region,59321,54438,938205,95308,15.82,302
57,United Arab Emirates,Middle East,103848,95942,1367355,143028,13.17,295
58,Peru,Latin America,52618,48170,778255,90694,14.79,293
59,Indonesia,Asiatic Region,311467,303489,1756261,495964,5.64,288
60,Viet Nam,Asiatic Region,119308,113930,1573226,253221,13.19,282
61,Lithuania,Eastern Europe,73264,70209,1002505,153798,13.68,280
62,Cyprus,Western Europe,44188,39499,831561,80720,18.82,276
63,Lebanon,Middle East,50298,45834,840319,72409,16.71,272
64,Nigeria,Africa,153532,143809,1563160,326116,10.18,270
65,Bangladesh,Asiatic Region,93329,87861,1211109,218519,12.98,269
66,Puerto Rico,Latin America,21363,20040,592063,27118,27.71,265
67,Venezuela,Latin America,46969,44514,735841,68043,15.67,265
68,Qatar,Middle East,48885,45080,877140,82296,17.94,259
69,Luxembourg,Western Europe,31189,28093,643784,48969,20.64,250
70,Panama,Latin America,10773,10069,409543,32180,38.02,246
71,Tunisia,Africa,123990,117440,1450571,257777,11.7,244
72,Morocco,Africa,106515,100389,1113399,230828,10.45,242
73,Sri Lanka,Asiatic Region,34675,31882,533288,50996,15.38,231
74,Georgia,Eastern Europe,28021,25288,544319,57778,19.43,228
75,Jordan,Middle East,70428,68138,876344,117130,12.44,228
76,Uruguay,Latin America,28194,26203,557998,62046,19.79,228
77,Algeria,Africa,104389,101330,1040435,212858,9.97,222
78,Armenia,Eastern Europe,22486,21714,413380,71212,18.38,221
