Country Name,Shape_Leng,Shape_Area,SubRegion,Region
Indonesia,495.029918165,153.07860773,South-Eastern Asia,SEA_Oceania
Malaysia,68.456912617,26.703172158,South-Eastern Asia,SEA_Oceania
Chile,416.997271602,76.7618125583,South America,SouthAmerica
Bolivia,54.3459907439,92.2035874193,South America,SouthAmerica
Peru,73.2621923615,106.417089189,South America,SouthAmerica
Argentina,151.513103612,278.681072546,South America,SouthAmerica
Cyprus,9.59670112372,0.883311005185,Western Asia,NorthAfrica_MiddleEast
India,199.04702445,272.304351424,Southern Asia,SouthAsia
China,376.667094731,951.364849904,Eastern Asia,CentralAsia
Israel,11.1306298005,1.95430445105,Western Asia,NorthAfrica_MiddleEast
Lebanon,6.08382231465,0.974971982943,Western Asia,NorthAfrica_MiddleEast
Ethiopia,47.3751355117,92.7077817003,Eastern Africa,SubSaharanAfrica
Somalia,50.3532874797,52.3118107792,Eastern Africa,SubSaharanAfrica
Kenya,36.4214752886,47.3437999413,Eastern Africa,SubSaharanAfrica
Pakistan,74.3614695748,81.7104361532,Southern Asia,SouthAsia
Malawi,24.7421347262,9.96232716407,Eastern Africa,SubSaharanAfrica
Tanzania,51.1750979562,77.018650054,Eastern Africa,SubSaharanAfrica
Syria,23.4622120146,18.4925178602,Western Asia,NorthAfrica_MiddleEast
France,102.208550713,71.5758175792,Western Europe,WesternEurope
Suriname,18.5113496728,11.8216892718,South America,SouthAmerica
Guyana,28.7368581744,17.2264606588,South America,SouthAmerica
South Korea,50.6676015025,9.89804821942,Eastern Asia,CentralAsia
North Korea,35.3322769771,12.9380459346,Eastern Asia,CentralAsia
Morocco,37.3162015249,39.4587009317,Northern Africa,NorthAfrica_MiddleEast
Costa Rica,18.3804669273,4.21732580754,Central America,CentralAmerica_Caribbean
Nicaragua,22.1171737998,10.7178615059,Central America,CentralAmerica_Caribbean
Republic of Congo,39.5835430501,28.044545088,Middle Africa,SubSaharanAfrica
Democratic Republic of Congo,87.7015603244,189.678904153,Middle Africa,SubSaharanAfrica
Bhutan,9.88984536643,3.68402684243,Southern Asia,SouthAsia
Ukraine,84.1355818576,73.6498901089,Eastern Europe,EasternEurope
Belarus,33.7134296289,28.1223903608,Eastern Europe,EasternEurope
Namibia,49.8930437398,72.1291487624,Southern Africa,SubSaharanAfrica
South Africa,72.9675124912,113.101342085,Southern Africa,SubSaharanAfrica
Oman,35.4106969408,26.9830005546,Western Asia,NorthAfrica_MiddleEast
Uzbekistan,64.6765890608,48.5065842829,Central Asia,CentralAsia
Kazakhstan,158.820119761,329.367573057,Central Asia,CentralAsia
Tajikistan,36.6927062362,14.6966730228,Central Asia,CentralAsia
Lithuania,17.8420745443,9.19039739767,Northern Europe,WesternEurope
Brazil,283.824736665,707.102986007,South America,SouthAmerica
Uruguay,19.3068148819,17.0762328041,South America,SouthAmerica
Mongolia,85.7240719892,184.602987128,Eastern Asia,CentralAsia
Russia,1645.53614683,2925.33260935,Eastern Europe,EasternEurope
Czech Republic,20.3709041337,9.82266586606,Eastern Europe,EasternEurope
Germany,68.2351868316,45.9300272954,Western Europe,WesternEurope
Estonia,27.2080075383,7.08958329553,Northern Europe,WesternEurope
Latvia,20.1911330905,9.50486409628,Northern Europe,WesternEurope
Norway,552.733226009,85.5974433621,Northern Europe,WesternEurope
Sweden,116.62662784,78.5608793406,Northern Europe,WesternEurope
Finland,94.2514364636,62.3801929127,Northern Europe,WesternEurope
Vietnam,87.7198440689,27.9450607565,South-Eastern Asia,SEA_Oceania
Cambodia,26.0326129245,15.0716947,South-Eastern Asia,SEA_Oceania
Luxembourg,2.96006313204,0.325538938244,Western Europe,WesternEurope
United Arab Emirates,21.4662899263,6.30355952911,Western Asia,NorthAfrica_MiddleEast
Belgium,13.4967900316,3.89735083289,Western Europe,WesternEurope
Georgia,18.8261686423,7.58022437861,Western Asia,NorthAfrica_MiddleEast
North Macedonia,7.61915187094,2.74144634223,Southern Europe,WesternEurope
Albania,11.050457212,3.03939513242,Southern Europe,WesternEurope
Azerbaijan,27.6897085195,9.13544984668,Western Asia,NorthAfrica_MiddleEast
Kosovo,5.92591283292,1.19657165855,Southern Europe,WesternEurope
Turkey,87.588304986,81.2094475835,Western Asia,NorthAfrica_MiddleEast
Spain,70.285985349,53.6819282548,Southern Europe,WesternEurope
Laos,40.5859998809,19.5287002959,South-Eastern Asia,SEA_Oceania
Kyrgyz Republic,40.5825665364,21.4488264556,Central Asia,CentralAsia
Armenia,12.8064712368,3.13377789517,Western Asia,NorthAfrica_MiddleEast
Denmark,55.7655080631,6.14107378805,Northern Europe,WesternEurope
Libya,58.1406838029,147.894331827,Northern Africa,NorthAfrica_MiddleEast
Tunisia,27.0986510201,15.3107492723,Northern Africa,NorthAfrica_MiddleEast
Romania,31.5349153436,27.3871816839,Eastern Europe,EasternEurope
Hungary,19.3568659173,11.0570051023,Eastern Europe,EasternEurope
Slovak Republic,14.9033382999,5.92051689947,Eastern Europe,EasternEurope
Poland,37.8187569487,41.1417725795,Eastern Europe,EasternEurope
Ireland,48.2420158345,9.33404778328,Northern Europe,WesternEurope
United Kingdom,155.614091289,33.5457362073,Northern Europe,WesternEurope
Greece,108.709390024,13.6742006886,Southern Europe,WesternEurope
Zambia,51.2206126846,62.8156025124,Eastern Africa,SubSaharanAfrica
Sierra Leone,16.759111176,5.88208207572,Western Africa,SubSaharanAfrica
Guinea,36.7021593895,20.176388483,Western Africa,SubSaharanAfrica
Liberia,17.0236937789,7.79118013669,Western Africa,SubSaharanAfrica
Central African Republic,44.6366355383,50.5477020451,Middle Africa,SubSaharanAfrica
Sudan,67.7697484042,156.205461778,Northern Africa,NorthAfrica_MiddleEast
Djibouti,7.49339765105,1.81197544431,Eastern Africa,SubSaharanAfrica
Eritrea,27.6109275258,10.3161626883,Eastern Africa,SubSaharanAfrica
Austria,24.1384718106,10.0437084524,Western Europe,WesternEurope
Iraq,34.6760125294,42.243983472,Western Asia,NorthAfrica_MiddleEast
