Country Name,Borders Length (in KM),Neighbouring Countries,isLandLocked,n_accessToSea,Rail Density,Pctg of Rail Electrified,Warred Against,Area Size (km2),Expanded EconZone Area,Amount of Ports,Distance from Equator,Majoritary Religions
Afghanistan,"5,529","['Pakistan', 'Turkmenistan', 'China', 'Uzbekistan', 'Tajikistan', 'Iran']",True,3,8696.4,0.0,"['United Kingdom', 'India', 'Afghanistan', 'Afghanistan', 'Afghanistan', 'Afghanistan', 'Afghanistan', 'Afghanistan', 'Afghanistan', 'Afghanistan', 'Afghanistan', 'Pakistan', 'Yemen', 'Libya', 'Yemen', 'Guinea-Bissau', 'Pakistan', 'Tunisia', 'Russia', 'India', 'Egypt', 'Mali', 'Mauritania', 'Morocco', 'Egypt', 'The Bahamas', 'Bosnia and Herzegovina', 'Mozambique', 'Iraq', 'Trinidad and Tobago', 'Tunisia', 'Iraq', 'Russia', 'Syria', 'Libya', 'Libya', 'Yemen', 'Iraq', 'Afghanistan', 'South Africa', 'Australia', 'Croatia', 'Czech Republic', 'Georgia', 'Germany', 'Italy', 'Romania', 'Spain', 'Turkey', 'United Kingdom', 'United States', 'India', 'Albania', 'Armenia', 'Australia', 'Austria', 'Azerbaijan', 'Bahrain', 'Belgium', 'Bosnia and Herzegovina', 'Bulgaria', 'Canada', 'Croatia', 'Czech Republic', 'Denmark', 'El Salvador', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Hungary', 'Iceland', 'Ireland', 'Italy', 'Jordan', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mongolia', 'Montenegro', 'Netherlands', 'New Zealand', 'Norway', 'Poland', 'Portugal', 'Czech Republic', 'Romania', 'Singapore', 'Slovak Republic', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Tonga', 'Turkey', 'Ukraine', 'United Arab Emirates', 'United Kingdom', 'United States', 'Afghanistan', 'Iran']",652867,0,0,34.517,['islam']
Albania,720,"['North Macedonia', 'Montenegro', 'Serbia', 'Greece']",False,6,86.07,0.0,"['Turkey', 'Italy', 'United Kingdom', 'Iran', 'Iran', 'Yemen', 'Libya', 'Yemen', 'Guinea-Bissau', 'Pakistan', 'Tunisia', 'Russia', 'India', 'Egypt', 'Mali', 'Mauritania', 'Morocco', 'Egypt', 'The Bahamas', 'Bosnia and Herzegovina', 'Mozambique', 'Iraq', 'Trinidad and Tobago', 'Tunisia', 'Iraq', 'Russia', 'Syria', 'Libya', 'Libya', 'Yemen', 'Iraq', 'Iraq', 'Trinidad and Tobago', 'Iraq', 'Iraq', 'Iraq', 'Iran', 'Cameroon', 'China', 'Sudan', 'Rwanda', 'Ethiopia', 'Iraq']",28748,13691,3,41.317,"['islam', 'christianity', 'no religion']"
Algeria,"6,470","['The Bahamas', 'Niger', 'Mauritania', 'Mali', 'Morocco', 'Libya', 'Tunisia']",False,6,522.31,0.11,"['Morocco', 'Yemen', 'Libya', 'Yemen', 'Guinea-Bissau', 'Pakistan', 'Tunisia', 'Russia', 'India', 'Egypt', 'Mali', 'Mauritania', 'Morocco', 'Egypt', 'The Bahamas', 'Bosnia and Herzegovina', 'Mozambique', 'Iraq', 'Trinidad and Tobago', 'Tunisia', 'Iraq', 'Russia', 'Syria', 'Libya', 'Libya', 'Yemen', 'Iraq', 'The Bahamas', 'Turkey', 'Qatar', 'United States', 'United Kingdom', 'Italy', 'Germany', 'Sudan', 'Jordan', 'Libya', 'Qatar', 'Sudan', 'Turkey', 'Iran', 'The Bahamas', 'Libya']",2381741,126353,2,36.700,['islam']
Angola,"5,198","['Democratic Republic of Congo', 'Republic of Congo', 'Namibia', 'Zambia']",False,6,451.54,0.0,"['South Africa', 'Democratic Republic of Congo', 'Rwanda', 'Republic of Congo', 'Uganda', 'Rwanda', 'Burundi', 'Rwanda']",1246700,518433,2,8.833,['christianity']
Argentina,"9,665","['Paraguay', 'Chile', 'Brazil', 'Bolivia', 'Uruguay']",False,6,77.45,0.01,['Russia'],2780400,1159063,9,34.600,"['christianity', 'no religion']"
Armenia,"1,254","['Iran', 'Turkey', 'Georgia', 'Azerbaijan']",True,3,42.31,1.0,"['Turkey', 'Georgia', 'Azerbaijan', 'Turkey', 'Russia', 'Azerbaijan', 'Turkey', 'Russia', 'Russia', 'Turkey', 'Azerbaijan', 'Azerbaijan', 'Azerbaijan', 'Turkey', 'Yemen', 'Libya', 'Yemen', 'Guinea-Bissau', 'Pakistan', 'Tunisia', 'Russia', 'India', 'Egypt', 'Mali', 'Mauritania', 'Morocco', 'Egypt', 'The Bahamas', 'Bosnia and Herzegovina', 'Mozambique', 'Iraq', 'Trinidad and Tobago', 'Tunisia', 'Iraq', 'Russia', 'Syria', 'Libya', 'Libya', 'Yemen', 'Iraq', 'Iraq', 'Trinidad and Tobago', 'Iraq', 'Iraq', 'Iraq', 'Iran', 'Azerbaijan', 'Azerbaijan']",29743,0,0,40.183,['christianity']
Australia,0,[],False,6,231.91,0.1,"['Germany', 'Japan', 'Italy', 'France', 'Romania', 'Hungary', 'Bulgaria', 'Slovak Republic', 'Croatia', 'Finland', 'Thailand', 'Iraq', 'Russia', 'China', 'Indonesia', 'Vietnam', 'North Korea', 'China', 'Russia', 'Bulgaria', 'Czech Republic', 'Hungary', 'Poland', 'Romania', 'Indonesia', 'Egypt', 'Libya', 'Malaysia', 'Iraq', 'Afghanistan', 'Pakistan', 'Indonesia', 'Yemen', 'Libya', 'Yemen', 'Guinea-Bissau', 'Pakistan', 'Tunisia', 'Russia', 'India', 'Egypt', 'Mali', 'Mauritania', 'Morocco', 'Egypt', 'The Bahamas', 'Bosnia and Herzegovina', 'Mozambique', 'Iraq', 'Trinidad and Tobago', 'Tunisia', 'Iraq', 'Russia', 'Syria', 'Libya', 'Libya', 'Yemen', 'Iraq', 'Russia', 'Iraq', 'Trinidad and Tobago', 'Iraq', 'Iraq', 'Iraq', 'Iran', 'Iraq', 'Trinidad and Tobago', 'Iraq', 'Iraq', 'Iraq', 'Iran', 'Timor-Leste', 'New Zealand', 'New Zealand', 'Syria', 'Iraq']",7692024,9025053,40,35.30806,"['christianity', 'no religion']"
Austria,"2,562","['Switzerland', 'Germany', 'Hungary', 'Slovenia', 'Italy', 'Eswatini', 'Czech Republic']",True,3,15.18,0.75,"['Albania', 'Austria', 'Yemen', 'Libya', 'Yemen', 'Guinea-Bissau', 'Pakistan', 'Tunisia', 'Russia', 'India', 'Egypt', 'Mali', 'Mauritania', 'Morocco', 'Egypt', 'The Bahamas', 'Bosnia and Herzegovina', 'Mozambique', 'Iraq', 'Trinidad and Tobago', 'Tunisia', 'Iraq', 'Russia', 'Syria', 'Libya', 'Libya', 'Yemen', 'Iraq']",83871,0,0,48.200,"['christianity', 'no religion', 'islam']"
Azerbaijan,"2,013","['Russia', 'Armenia', 'Turkey', 'Georgia', 'Iran']",True,4,41.88,0.62,"['Iran', 'Iran', 'Russia', 'Yemen', 'Libya', 'Yemen', 'Guinea-Bissau', 'Pakistan', 'Tunisia', 'Russia', 'India', 'Egypt', 'Mali', 'Mauritania', 'Morocco', 'Egypt', 'The Bahamas', 'Bosnia and Herzegovina', 'Mozambique', 'Iraq', 'Trinidad and Tobago', 'Tunisia', 'Iraq', 'Russia', 'Syria', 'Libya', 'Libya', 'Yemen', 'Iraq', 'Russia', 'Iraq', 'Trinidad and Tobago', 'Iraq', 'Iraq', 'Iraq', 'Iran', 'Czech Republic', 'Armenia', 'Armenia', 'Armenia', 'Armenia', 'Russia']",86600,0,0,40.39528,"['islam', 'christianity']"
Bahrain,0,[],False,6,0.0,0.0,"['Yemen', 'Libya', 'Yemen', 'Guinea-Bissau', 'Pakistan', 'Tunisia', 'Russia', 'India', 'Egypt', 'Mali', 'Mauritania', 'Morocco', 'Egypt', 'The Bahamas', 'Bosnia and Herzegovina', 'Mozambique', 'Iraq', 'Trinidad and Tobago', 'Tunisia', 'Iraq', 'Russia', 'Syria', 'Libya', 'Libya', 'Yemen', 'Iraq', 'Iran', 'Qatar']",786,10225,2,26.217,['islam']
