Predictor Group,Description,Value
geoPolitical,R2 Scores_Q1,0.0617
geoPolitical,R2 Scores_Q1,0.02751
geoPolitical,R2 Scores_Q1,0.01927
geoPolitical,R2 Scores_Q1,0.0
Neighbour Quality,R2 Scores_Q1,0.05929
Neighbour Quality,R2 Scores_Q1,0.05036
Neighbour Quality,R2 Scores_Q1,0.01639
Economic Freedom,R2 Scores_Q1,0.04368
Economic Freedom,R2 Scores_Q1,0.02609
Economic Freedom,R2 Scores_Q1,0.01664
Economic Freedom,R2 Scores_Q1,0.01606
Economic Freedom,R2 Scores_Q1,0.01202
Economic Freedom,R2 Scores_Q1,0.0109
Economic Freedom,R2 Scores_Q1,0.01019
Economic Freedom,R2 Scores_Q1,0.00532
Economic Freedom,R2 Scores_Q1,0.00485
Economic Freedom,R2 Scores_Q1,0.00242
Economic Freedom,R2 Scores_Q1,0.00154
Economic Freedom,R2 Scores_Q1,0.00079
Other Economic Factors,R2 Scores_Q1,0.02867
Other Economic Factors,R2 Scores_Q1,0.02498
Other Economic Factors,R2 Scores_Q1,0.01344
Other Economic Factors,R2 Scores_Q1,0.00711
Other Economic Factors,R2 Scores_Q1,0.0064
Other Economic Factors,R2 Scores_Q1,0.00438
Other Economic Factors,R2 Scores_Q1,0.00351
Other Economic Factors,R2 Scores_Q1,0.00342
Education & Research,R2 Scores_Q1,0.0052
Education & Research,R2 Scores_Q1,0.00387
geoPolitical,R2 Scores_Q2,0.07192
geoPolitical,R2 Scores_Q2,0.03518
Neighbour Quality,R2 Scores_Q2,0.07348
Neighbour Quality,R2 Scores_Q2,0.06119
Neighbour Quality,R2 Scores_Q2,0.02976
Economic Freedom,R2 Scores_Q2,0.10849
Economic Freedom,R2 Scores_Q2,0.04342
Economic Freedom,R2 Scores_Q2,0.03265
Economic Freedom,R2 Scores_Q2,0.02246
Economic Freedom,R2 Scores_Q2,0.01712
Economic Freedom,R2 Scores_Q2,0.01238
Economic Freedom,R2 Scores_Q2,0.01105
Economic Freedom,R2 Scores_Q2,0.01093
Economic Freedom,R2 Scores_Q2,0.00615
Economic Freedom,R2 Scores_Q2,0.00544
Economic Freedom,R2 Scores_Q2,0.00493
Economic Freedom,R2 Scores_Q2,0.00134
Other Economic Factors,R2 Scores_Q2,0.04033
Other Economic Factors,R2 Scores_Q2,0.03992
Other Economic Factors,R2 Scores_Q2,0.02221
Other Economic Factors,R2 Scores_Q2,0.02216
Other Economic Factors,R2 Scores_Q2,0.01699
Other Economic Factors,R2 Scores_Q2,0.01474
Other Economic Factors,R2 Scores_Q2,0.01031
Other Economic Factors,R2 Scores_Q2,0.01006
geoPolitical,R2 Scores_Q3,0.0177
geoPolitical,R2 Scores_Q3,0.01515
geoPolitical,R2 Scores_Q3,0.00507
geoPolitical,R2 Scores_Q3,0.00355
Neighbour Quality,R2 Scores_Q3,0.05958
Neighbour Quality,R2 Scores_Q3,0.05464
Neighbour Quality,R2 Scores_Q3,0.01757
Economic Freedom,R2 Scores_Q3,0.1586
Economic Freedom,R2 Scores_Q3,0.04019
Economic Freedom,R2 Scores_Q3,0.02788
Economic Freedom,R2 Scores_Q3,0.02502
Economic Freedom,R2 Scores_Q3,0.01819
Economic Freedom,R2 Scores_Q3,0.01416
Economic Freedom,R2 Scores_Q3,0.00864
Economic Freedom,R2 Scores_Q3,0.00716
Economic Freedom,R2 Scores_Q3,0.0071
